"CO_NCM","Setor","Subsetor","Produto","NCM"
"13019000","DEMAIS PRODUTOS DE ORIGEM VEGETAL","GOMAS, RESINAS E DEMAIS SUCOS E EXTRATOS VEGETAIS","GOMAS E RESINAS","OUTS.GOMAS,RESINAS,GOMAS-RESINAS,OLEORRESINAS,NATURAIS"
"13019010","DEMAIS PRODUTOS DE ORIGEM VEGETAL","GOMAS, RESINAS E DEMAIS SUCOS E EXTRATOS VEGETAIS","GOMAS E RESINAS","GOMA-LACA"
"13019090","DEMAIS PRODUTOS DE ORIGEM VEGETAL","GOMAS, RESINAS E DEMAIS SUCOS E EXTRATOS VEGETAIS","GOMAS E RESINAS","OUTS GOMAS,RES.,GOMA-RESINAS,BÁLSAMOS NAT."
"13021100","DEMAIS PRODUTOS DE ORIGEM VEGETAL","PLANTAS E PARTES PARA INDÚSTRIA, MEDICINA OU PERFUMARIA","PLANTAS PARA MEDICINA OU PERFUMARIA","SUCOS E EXTRATOS,DE OPIO"
"13021110","DEMAIS PRODUTOS DE ORIGEM VEGETAL","PLANTAS E PARTES PARA INDÚSTRIA, MEDICINA OU PERFUMARIA","PLANTAS PARA MEDICINA OU PERFUMARIA","CONCENTRADO DE PALHA DE PAPOULA"
"13021190","DEMAIS PRODUTOS DE ORIGEM VEGETAL","GOMAS, RESINAS E DEMAIS SUCOS E EXTRATOS VEGETAIS","SUCOS E EXTRATOS VEGETAIS","OUTROS SUCOS E EXTRATOS VEGETAIS,DE OPIO"
"13021200","DEMAIS PRODUTOS DE ORIGEM VEGETAL","GOMAS, RESINAS E DEMAIS SUCOS E EXTRATOS VEGETAIS","SUCOS E EXTRATOS VEGETAIS","SUCOS E EXTRATOS,DE ALCACUZ"
"13021300","DEMAIS PRODUTOS DE ORIGEM VEGETAL","PLANTAS E PARTES PARA INDÚSTRIA, MEDICINA OU PERFUMARIA","CONES E EXTRATOS DE LÚPULO E LUPULINA","SUCOS E EXTRATOS,DE LUPULO"
"13021400","DEMAIS PRODUTOS DE ORIGEM VEGETAL","GOMAS, RESINAS E DEMAIS SUCOS E EXTRATOS VEGETAIS","SUCOS E EXTRATOS VEGETAIS","SUCOS E EXTRATOS,DE PIRETRO OU DE RAIZES C/ROTENONA"
"13021910","DEMAIS PRODUTOS DE ORIGEM VEGETAL","GOMAS, RESINAS E DEMAIS SUCOS E EXTRATOS VEGETAIS","SUCOS E EXTRATOS VEGETAIS","SUCOS E EXTRATOS,DE MAMAO ('CARICA PAPAYA'),SECO"
"13021920","DEMAIS PRODUTOS DE ORIGEM VEGETAL","GOMAS, RESINAS E DEMAIS SUCOS E EXTRATOS VEGETAIS","SUCOS E EXTRATOS VEGETAIS","SUCOS E EXTRATOS,DE SEMENTE DE POMELO ('GRAPEFRUIT')"
"13021930","DEMAIS PRODUTOS DE ORIGEM VEGETAL","GOMAS, RESINAS E DEMAIS SUCOS E EXTRATOS VEGETAIS","SUCOS E EXTRATOS VEGETAIS","SUCOS E EXTRATOS DE GINKGO BILOBA SECO"
"13021940","DEMAIS PRODUTOS DE ORIGEM VEGETAL","GOMAS, RESINAS E DEMAIS SUCOS E EXTRATOS VEGETAIS","SUCOS E EXTRATOS VEGETAIS","SUCOS E EXTRATOS,VALEPOTRIATOS"
"13021950","DEMAIS PRODUTOS DE ORIGEM VEGETAL","GOMAS, RESINAS E DEMAIS SUCOS E EXTRATOS VEGETAIS","SUCOS E EXTRATOS VEGETAIS","SUCOS E EXTRATOS,DE 'GINSENG'"
"13021960","DEMAIS PRODUTOS DE ORIGEM VEGETAL","GOMAS, RESINAS E DEMAIS SUCOS E EXTRATOS VEGETAIS","SUCOS E EXTRATOS VEGETAIS","SUCOS E EXTRATOS,SILIMARINA"
"13021990","DEMAIS PRODUTOS DE ORIGEM VEGETAL","GOMAS, RESINAS E DEMAIS SUCOS E EXTRATOS VEGETAIS","SUCOS E EXTRATOS VEGETAIS","SUCOS E EXTRATOS,DE OUTROS VEGETAIS"
"13021991","DEMAIS PRODUTOS DE ORIGEM VEGETAL","GOMAS, RESINAS E DEMAIS SUCOS E EXTRATOS VEGETAIS","SUCOS E EXTRATOS VEGETAIS","SUC.EXTRAT.DE PIRETRO,RAÍZES,CONT.ROTENONA"
"13021999","DEMAIS PRODUTOS DE ORIGEM VEGETAL","GOMAS, RESINAS E DEMAIS SUCOS E EXTRATOS VEGETAIS","SUCOS E EXTRATOS VEGETAIS","OUTROS SUCOS E EXTRATOS VEGETAIS"
"13022010","DEMAIS PRODUTOS DE ORIGEM VEGETAL","GOMAS, RESINAS E DEMAIS SUCOS E EXTRATOS VEGETAIS","SUCOS E EXTRATOS VEGETAIS","MATERIAS PECTICAS (PECTINAS)"
"13022090","DEMAIS PRODUTOS DE ORIGEM VEGETAL","GOMAS, RESINAS E DEMAIS SUCOS E EXTRATOS VEGETAIS","MATÉRIAS PÉCTICAS, PECTINATOS E PECTATOS","OUTRAS MATERIAS PECTICAS,PECTINATOS E PECTATOS"
"13023100","DEMAIS PRODUTOS DE ORIGEM VEGETAL","GOMAS, RESINAS E DEMAIS SUCOS E EXTRATOS VEGETAIS","PRODUTOS MUCILAGINOSOS E ESPESSANTES","AGAR-AGAR"
"13023211","DEMAIS PRODUTOS DE ORIGEM VEGETAL","GOMAS, RESINAS E DEMAIS SUCOS E EXTRATOS VEGETAIS","PRODUTOS MUCILAGINOSOS E ESPESSANTES","FARINHA DE ENDOSPERMA"
"13023219","DEMAIS PRODUTOS DE ORIGEM VEGETAL","GOMAS, RESINAS E DEMAIS SUCOS E EXTRATOS VEGETAIS","PRODUTOS MUCILAGINOSOS E ESPESSANTES","OUTS.PRODS.MUCILAG.ESPESSANTES,DE ALFARROBA E SEMENTES"
"13023220","DEMAIS PRODUTOS DE ORIGEM VEGETAL","GOMAS, RESINAS E DEMAIS SUCOS E EXTRATOS VEGETAIS","PRODUTOS MUCILAGINOSOS E ESPESSANTES","PRODS.MUCILAGINOSOS E ESPESSANTES,DE SEMENTES DE GUARE"
"13023910","DEMAIS PRODUTOS DE ORIGEM VEGETAL","GOMAS, RESINAS E DEMAIS SUCOS E EXTRATOS VEGETAIS","PRODUTOS MUCILAGINOSOS E ESPESSANTES","PRODS.MUCILAGINOSOS E ESPESSANTES,DE CARRAGENINA"
"13023990","DEMAIS PRODUTOS DE ORIGEM VEGETAL","GOMAS, RESINAS E DEMAIS SUCOS E EXTRATOS VEGETAIS","PRODUTOS MUCILAGINOSOS E ESPESSANTES","PRODS.MUCILAGINOSOS E ESPESSANTES,DERIV.OUTROS VEGETAIS"
"14011000","DEMAIS PRODUTOS DE ORIGEM VEGETAL","OUTROS PRODUTOS DE ORIGEM VEGETAL","OUTROS PRODUTOS DE ORIGEM VEGETAL","BAMBUS PARA CESTARIA OU ESPARTARIA"
"14012000","DEMAIS PRODUTOS DE ORIGEM VEGETAL","OUTROS PRODUTOS DE ORIGEM VEGETAL","OUTROS PRODUTOS DE ORIGEM VEGETAL","ROTINS PARA CESTARIA OU ESPARTARIA"
"14019000","DEMAIS PRODUTOS DE ORIGEM VEGETAL","OUTROS PRODUTOS DE ORIGEM VEGETAL","OUTROS PRODUTOS DE ORIGEM VEGETAL","OUTRAS MATERIAS VEGETAIS PARA CESTARIA OU ESPARTARIA"
"14020000","DEMAIS PRODUTOS DE ORIGEM VEGETAL","OUTROS PRODUTOS DE ORIGEM VEGETAL","OUTROS PRODUTOS DE ORIGEM VEGETAL","MATERIAS VEGETAIS,UTILIZ.CESTARIA/ESPARTARIA"
"14021000","FIBRAS E PRODUTOS TÊXTEIS","DEMAIS FIBRAS E PRODUTOS TÊXTEIS","DEMAIS FIBRAS E PRODUTOS TÊXTEIS","SUMAUMA ('KAPOC') PARA ENCHIMENTO OU ESTOFAMENTO"
"14029000","FIBRAS E PRODUTOS TÊXTEIS","DEMAIS FIBRAS E PRODUTOS TÊXTEIS","DEMAIS FIBRAS E PRODUTOS TÊXTEIS","OUTRAS MATERIAS VEGETAIS,PARA ENCHIMENTO OU ESTOFAMENTO"
"14030000","DEMAIS PRODUTOS DE ORIGEM VEGETAL","OUTROS PRODUTOS DE ORIGEM VEGETAL","OUTROS PRODUTOS DE ORIGEM VEGETAL","MATERIAS VEGETAIS,P/FABR.DE VASSOURAS/ESCOVAS"
"14031000","DEMAIS PRODUTOS DE ORIGEM VEGETAL","OUTROS PRODUTOS DE ORIGEM VEGETAL","OUTROS PRODUTOS DE ORIGEM VEGETAL","SORGO PARA VASSOURAS"
"14039000","DEMAIS PRODUTOS DE ORIGEM VEGETAL","OUTROS PRODUTOS DE ORIGEM VEGETAL","OUTROS PRODUTOS DE ORIGEM VEGETAL","OUTRAS MATERIAS VEGETAIS P/FABR.DE VASSOURAS OU ESCOVAS"
"14041000","DEMAIS PRODUTOS DE ORIGEM VEGETAL","OUTROS PRODUTOS DE ORIGEM VEGETAL","OUTROS PRODUTOS DE ORIGEM VEGETAL","MATERIAS-PRIMAS VEGETAIS PARA TINTURARIA OU CURTIMENTA"
"14042010","FIBRAS E PRODUTOS TÊXTEIS","ALGODÃO E PRODUTOS TÊXTEIS DE ALGODÃO","LINTERES DE ALGODÃO","LINTERES DE ALGODAO,EM BRUTO"
"14042090","FIBRAS E PRODUTOS TÊXTEIS","ALGODÃO E PRODUTOS TÊXTEIS DE ALGODÃO","LINTERES DE ALGODÃO","OUTROS LINTERES DE ALGODAO"
"14049000","DEMAIS PRODUTOS DE ORIGEM VEGETAL","OUTROS PRODUTOS DE ORIGEM VEGETAL","OUTROS PRODUTOS DE ORIGEM VEGETAL","OUTROS PRODUTOS DE ORIGEM VEGETAL,PARA ENTRANCAR"
"14049010","DEMAIS PRODUTOS DE ORIGEM VEGETAL","OUTROS PRODUTOS DE ORIGEM VEGETAL","OUTROS PRODUTOS DE ORIGEM VEGETAL","MATÉRIAS VEGET,P/FABR.DE VASSOURAS/ESCOVAS"
"14049090","DEMAIS PRODUTOS DE ORIGEM VEGETAL","OUTROS PRODUTOS DE ORIGEM VEGETAL","OUTROS PRODUTOS DE ORIGEM VEGETAL","OUTS PRODS.DE ORIGEM VEGETAL, P/ENTRANÇAR"
"15010000","DEMAIS PRODUTOS DE ORIGEM ANIMAL","GORDURAS e OLEOS DE ORIGEM ANIMAL","OUTRAS GORDURAS E OLEOS DE ORIGEM ANIMAL","GORDURAS DE PORCO (INCL.A BANHA) E GORDURA DE AVES"
"15011000","DEMAIS PRODUTOS DE ORIGEM ANIMAL","GORDURAS e OLEOS DE ORIGEM ANIMAL","GORDURAS DE PORCO","BANHA DE PORCO"
"15012000","DEMAIS PRODUTOS DE ORIGEM ANIMAL","GORDURAS e OLEOS DE ORIGEM ANIMAL","GORDURAS DE PORCO","OUTRAS GORDURAS DE PORCO"
"15019000","DEMAIS PRODUTOS DE ORIGEM ANIMAL","GORDURAS e OLEOS DE ORIGEM ANIMAL","OUTRAS GORDURAS E OLEOS DE ORIGEM ANIMAL","GORDURA DE AVES"
"15020011","DEMAIS PRODUTOS DE ORIGEM ANIMAL","GORDURAS e OLEOS DE ORIGEM ANIMAL","SEBO BOVINO","SEBO BOVINO,EM BRUTO"
"15020012","DEMAIS PRODUTOS DE ORIGEM ANIMAL","GORDURAS e OLEOS DE ORIGEM ANIMAL","SEBO BOVINO","SEBO BOVINO,FUNDIDO"
